clip	duration[ms]
common_voice_en_40650822.mp3	6048
common_voice_en_40818650.mp3	12348
common_voice_en_40216534.mp3	7416
common_voice_en_40206145.mp3	5508
common_voice_en_40683114.mp3	5508
common_voice_en_40353631.mp3	4680
common_voice_en_40610322.mp3	8136
common_voice_en_40495219.mp3	8028
common_voice_en_40701969.mp3	8388
common_voice_en_40282826.mp3	7416
common_voice_en_40259417.mp3	6300
common_voice_en_40862695.mp3	7488
common_voice_en_40319622.mp3	3492
common_voice_en_40404100.mp3	5652
common_voice_en_40764567.mp3	7128
common_voice_en_40256910.mp3	5148
common_voice_en_40760446.mp3	5688
common_voice_en_40606909.mp3	4140
common_voice_en_40468297.mp3	6156
common_voice_en_40358099.mp3	5256
common_voice_en_40783637.mp3	4644
common_voice_en_40374904.mp3	4896
common_voice_en_40743221.mp3	6120
common_voice_en_40662875.mp3	9108
common_voice_en_40284363.mp3	5616
common_voice_en_40457285.mp3	9360
common_voice_en_40845835.mp3	6300
common_voice_en_40421880.mp3	5256
common_voice_en_40323476.mp3	4896
common_voice_en_40356196.mp3	3096
common_voice_en_40659264.mp3	4356
common_voice_en_40264885.mp3	3276
common_voice_en_40859886.mp3	4428
common_voice_en_40702799.mp3	5472
common_voice_en_40535833.mp3	4932
common_voice_en_40259950.mp3	3636
common_voice_en_40290883.mp3	5904
common_voice_en_40225232.mp3	4104
common_voice_en_40216245.mp3	7128
common_voice_en_40852977.mp3	7884
common_voice_en_40841015.mp3	4968
common_voice_en_40520433.mp3	6840
common_voice_en_40282662.mp3	6408
common_voice_en_40264750.mp3	6228
common_voice_en_40364905.mp3	7596
common_voice_en_40596916.mp3	3816
common_voice_en_40702753.mp3	5868
common_voice_en_40370859.mp3	3276
common_voice_en_40740108.mp3	5580
common_voice_en_40632241.mp3	8748
common_voice_en_40341100.mp3	4860
common_voice_en_40378840.mp3	5148
common_voice_en_40329826.mp3	7380
common_voice_en_40255848.mp3	5436
common_voice_en_40238457.mp3	4320
common_voice_en_40679355.mp3	9396
common_voice_en_40608556.mp3	5796
common_voice_en_40306904.mp3	5760
common_voice_en_40234046.mp3	4608
common_voice_en_40234605.mp3	4824
common_voice_en_40841097.mp3	4320
common_voice_en_40208665.mp3	4932
common_voice_en_40628911.mp3	6696
common_voice_en_40750778.mp3	8676
common_voice_en_40197930.mp3	5544
common_voice_en_40325810.mp3	9396
common_voice_en_40770805.mp3	7596
common_voice_en_40720852.mp3	9108
common_voice_en_40356199.mp3	12636
common_voice_en_40709677.mp3	6048
common_voice_en_40323240.mp3	5148
common_voice_en_40228696.mp3	7956
common_voice_en_40409855.mp3	10260
common_voice_en_40404477.mp3	7236
common_voice_en_40720324.mp3	4356
common_voice_en_40204743.mp3	7056
common_voice_en_40531682.mp3	7920
common_voice_en_40720807.mp3	11700
common_voice_en_40694810.mp3	9576
common_voice_en_40661489.mp3	7128
common_voice_en_40260280.mp3	5508
common_voice_en_40662756.mp3	7416
common_voice_en_40606149.mp3	5796
common_voice_en_40385338.mp3	6120
common_voice_en_40244936.mp3	6120
common_voice_en_40720817.mp3	7236
common_voice_en_40234592.mp3	5976
common_voice_en_40773955.mp3	8028
common_voice_en_40237086.mp3	5400
common_voice_en_40381490.mp3	3456
common_voice_en_40358920.mp3	3348
common_voice_en_40487145.mp3	5616
common_voice_en_40486680.mp3	9108
common_voice_en_40566170.mp3	4176
common_voice_en_40315846.mp3	2376
common_voice_en_40694706.mp3	6336
common_voice_en_40322404.mp3	8532
common_voice_en_40740072.mp3	10548
common_voice_en_40308166.mp3	6552
common_voice_en_40354054.mp3	3708
common_voice_en_40440393.mp3	6300
common_voice_en_40655498.mp3	5256
common_voice_en_40279949.mp3	5148
common_voice_en_40855405.mp3	5616
common_voice_en_40485794.mp3	3816
common_voice_en_40837318.mp3	5076
common_voice_en_40191940.mp3	6012
common_voice_en_40449562.mp3	5184
common_voice_en_40405069.mp3	4608
common_voice_en_40694682.mp3	4968
common_voice_en_40466250.mp3	8640
common_voice_en_40864360.mp3	5328
common_voice_en_40327575.mp3	4608
common_voice_en_40238352.mp3	3924
common_voice_en_40818612.mp3	7776
common_voice_en_40660152.mp3	7920
common_voice_en_40720348.mp3	4392
common_voice_en_40423346.mp3	5616
common_voice_en_40493828.mp3	5472
common_voice_en_40655356.mp3	8172
common_voice_en_40736760.mp3	6228
common_voice_en_40702250.mp3	3636
common_voice_en_40307299.mp3	4176
common_voice_en_40418834.mp3	9648
common_voice_en_40307397.mp3	2880
common_voice_en_40196104.mp3	7236
common_voice_en_40257141.mp3	4860
common_voice_en_40264891.mp3	4788
common_voice_en_40256888.mp3	4176
common_voice_en_40368073.mp3	7776
common_voice_en_40212838.mp3	4752
common_voice_en_40628765.mp3	5616
common_voice_en_40269230.mp3	4536
common_voice_en_40277419.mp3	5688
common_voice_en_40354510.mp3	5076
common_voice_en_40651812.mp3	3816
common_voice_en_40486700.mp3	4536
common_voice_en_40790486.mp3	5076
common_voice_en_40846242.mp3	5724
common_voice_en_40673497.mp3	2988
common_voice_en_40600017.mp3	3456
common_voice_en_40253801.mp3	6660
common_voice_en_40849601.mp3	3888
common_voice_en_40250430.mp3	3780
common_voice_en_40845697.mp3	4536
common_voice_en_40608698.mp3	10440
common_voice_en_40440829.mp3	8640
common_voice_en_40703380.mp3	6624
common_voice_en_40292406.mp3	7848
common_voice_en_40457262.mp3	7560
common_voice_en_40307417.mp3	3456
common_voice_en_40256903.mp3	9396
common_voice_en_40211483.mp3	6480
common_voice_en_40199578.mp3	4176
common_voice_en_40726213.mp3	5616
common_voice_en_40363034.mp3	4500
common_voice_en_40823368.mp3	4428
common_voice_en_40243934.mp3	5760
common_voice_en_40462064.mp3	5508
common_voice_en_40407370.mp3	8460
common_voice_en_40864319.mp3	9900
common_voice_en_40259879.mp3	4428
common_voice_en_40187767.mp3	6444
common_voice_en_40603402.mp3	7236
common_voice_en_40495131.mp3	4968
common_voice_en_40353885.mp3	3996
