clip	duration[ms]
common_voice_fr_40267482.mp3	5688
common_voice_fr_40474973.mp3	2520
common_voice_fr_40439542.mp3	4608
common_voice_fr_40239710.mp3	4248
common_voice_fr_40223912.mp3	2628
common_voice_fr_40475417.mp3	3924
common_voice_fr_40529413.mp3	3240
common_voice_fr_40444093.mp3	5688
common_voice_fr_40187706.mp3	5616
common_voice_fr_40347138.mp3	3276
common_voice_fr_40310829.mp3	4968
common_voice_fr_40546133.mp3	4644
common_voice_fr_40484056.mp3	6372
common_voice_fr_40474634.mp3	4176
common_voice_fr_40227601.mp3	3492
common_voice_fr_40474688.mp3	4896
common_voice_fr_40474710.mp3	4752
common_voice_fr_40548435.mp3	2232
common_voice_fr_40475381.mp3	3240
common_voice_fr_40282953.mp3	4320
common_voice_fr_40474522.mp3	3312
common_voice_fr_40844385.mp3	5616
common_voice_fr_40234018.mp3	7704
common_voice_fr_40475344.mp3	2916
common_voice_fr_40474653.mp3	4104
common_voice_fr_40693655.mp3	5580
common_voice_fr_40440497.mp3	7380
common_voice_fr_40294725.mp3	5040
common_voice_fr_40386816.mp3	4356
common_voice_fr_40509404.mp3	4536
common_voice_fr_40509479.mp3	3348
common_voice_fr_40223618.mp3	3888
common_voice_fr_40223914.mp3	3852
common_voice_fr_40462797.mp3	4284
common_voice_fr_40427263.mp3	3420
common_voice_fr_40830263.mp3	4356
common_voice_fr_40844837.mp3	3708
common_voice_fr_40707338.mp3	5472
common_voice_fr_40510325.mp3	7272
common_voice_fr_40444811.mp3	3312
common_voice_fr_40437585.mp3	7956
common_voice_fr_40223896.mp3	4140
common_voice_fr_40347122.mp3	8460
common_voice_fr_40390281.mp3	1584
common_voice_fr_40844499.mp3	6048
common_voice_fr_40265730.mp3	7272
common_voice_fr_40474649.mp3	5724
common_voice_fr_40461691.mp3	7236
common_voice_fr_40474863.mp3	4032
common_voice_fr_40202989.mp3	3996
common_voice_fr_40479725.mp3	4932
common_voice_fr_40792700.mp3	4176
common_voice_fr_40475462.mp3	5148
common_voice_fr_40547824.mp3	5616
common_voice_fr_40525845.mp3	6948
common_voice_fr_40551433.mp3	4680
common_voice_fr_40478183.mp3	7020
common_voice_fr_40475291.mp3	3888
common_voice_fr_40206488.mp3	5328
common_voice_fr_40474703.mp3	3708
common_voice_fr_40190093.mp3	6588
common_voice_fr_40444821.mp3	5472
common_voice_fr_40364356.mp3	5364
common_voice_fr_40844552.mp3	4140
common_voice_fr_40432219.mp3	6372
common_voice_fr_40203037.mp3	5832
common_voice_fr_40509398.mp3	4644
